customer_id,monthly_income,income_variance,bill_payment_delay_avg,missed_payments_6m,spending_ratio,savings_rate,employment_duration_months,account_age_months,risk_score,risk_band,financial_resilience_score,payment_discipline_score,income_stability_index
0923ca2a17b690f19a4fc9b3f6b5f4f42f983f04edf002033783cb5062d84b84,30000-40000,0.065,3.88,0,1.0,0.02,82,60-120,0.17,Low,23.4,80.6,93.5
2b485464ae4907038d31bdfcce01576775613476b50fc571cf05eb32e5c6e784,20000-30000,0.272,3.39,0,1.0,0.4,73,60-120,0.0,Low,52.900000000000006,83.05,72.8
d5ac3a51b930f8db694690049f67b81e3d3932c09fddf5ef6cfefc03248872df,30000-40000,0.383,1.92,0,1.0,0.14,157,60-120,0.01,Low,34.5,90.4,61.7
f7195375c6c9e3e2680d0ed8c98ed8dd19690f0b211b961f4eba506fb1adb50d,40000-50000,0.261,3.7,2,0.0,0.4,80,60-120,0.2,Low,48.2,61.5,73.9
99996f58a7f6e551c0f8fc0ad1636dd5992b20c9a495d71acb966b96e26e7776,20000-30000,0.337,1.11,0,1.0,0.06,80,120-180,0.11,Low,26.3,94.45,66.3
446b8962a2d45668d39a18199712955f13c57143a15d78b25f91772eb31dd31b,20000-30000,0.359,1.61,2,0.0,0.4,174,60-120,0.07,Low,51.8,71.95,64.1
b0be26e4a2e4b0fe1827f77646982ac1f4b34f35a0f1819466855e6199709877,40000-50000,0.13,6.61,1,1.0,0.0,291,60-120,0.17,Low,16.6,56.94999999999999,87.0
2c4604d34974526ae4535ce21918edd4aec682ae85143c6796b942a6da0970ca,30000-40000,0.124,0.9,0,0.0,0.4,35,120-180,0.0,Low,56.2,95.5,87.6
1337bf22ff3a22f5a19456908dc030faf62f18fbaa7224e29cfccd3f4ff79f7b,20000-30000,0.264,2.11,1,1.0,0.05,278,180-240,0.11,Low,18.5,79.45,73.6
c133d7315309caa7b8386430cd6aed09b668c663d143af765ce35d95ac77bf65,30000-40000,0.194,6.56,1,1.0,0.38,9,180-240,0.21,Low,47.6,57.2,80.60000000000001
69155b79e3f08017f0d3c5226d8e79e3c7865590ebe99a1e9b3ab39d5da7964a,20000-30000,0.344,4.58,1,1.0,0.03,162,180-240,0.22,Low,21.1,67.1,65.60000000000001
4557135f04c67cf0bc289f3764a7428662db0c9b9395181853d7ee7550b27f6f,20000-30000,0.365,0.25,1,1.0,0.4,242,60-120,0.0,Low,49.2,88.75,63.5
00489e975d494353491b04788b50ab4dacbe3c030bf65fbc10b4e01172e3117f,30000-40000,0.174,0.46,0,1.0,0.0,26,180-240,0.19,Low,19.4,97.7,82.60000000000001
a9a4a9c53d11fc9590e8f7729020b5ef5186f268c29bb526afb836b534b87c0a,10000-20000,0.133,0.02,1,0.0,0.4,216,60-120,0.0,Low,54.0,89.9,86.7
aa9f4302e01bd44b14414fd2f6906fe07e7838983b2a121457cbbe1231fb0e85,10000-20000,0.323,3.6,2,0.0,0.4,72,120-180,0.2,Low,48.8,62.0,67.7
82eeb740cdfc2470c0dd90eb1561a2df491ee92b6ba15e41956fb471d561c3c4,20000-30000,0.146,1.62,1,1.0,0.4,218,120-180,0.0,Low,45.3,81.9,85.39999999999999
045d9bda0743939a685b76f5570d003b61848c1fcc6aa5dd867672361c12e236,20000-30000,0.338,0.53,1,0.0,0.4,106,60-120,0.0,Low,54.9,87.35,66.19999999999999
